 Consumer loan, 991362, Taking out the loan or lease, 
 Credit reporting, 991763, Incorrect information on credit report, 
 Credit reporting, 991764, Incorrect information on credit report, 
 Credit reporting, 991765, Incorrect information on credit report, 
 Credit reporting, 991767, Incorrect information on credit report, 
 Credit reporting, 988042, Incorrect information on credit report, 
 Credit reporting, 988041, Incorrect information on credit report, 
 Credit reporting, 988040, Incorrect information on credit report, 
 Credit reporting, 988130, Incorrect information on credit report, 
 Consumer loan, 987940, Problems when you are unable to pay, 
 Credit card, 987485, Other fee, 
 Credit card, 987105, Delinquent account, 
 Debt collection, 984443, Cont'd attempts collect debt not owed, 
 Debt collection, 984943, Improper contact or sharing of info, 
 Debt collection, 984828, Communication tactics, 
 Debt collection, 985043, Cont'd attempts collect debt not owed, 
 Debt collection, 985343, Taking/threatening an illegal action, 
 Debt collection, 985344, Taking/threatening an illegal action, 
 Debt collection, 984174, Cont'd attempts collect debt not owed, 
 Credit reporting, 984177, Incorrect information on credit report, 
 Debt collection, 984173, Cont'd attempts collect debt not owed, 
 Credit reporting, 984175, Incorrect information on credit report, 
 Credit reporting, 984176, Incorrect information on credit report, 
 Bank account or service, 981035, Problems caused by my funds being low, 
 Payday loan, 979722, Applied for loan/did not receive money, 
 Credit reporting, 980255, Incorrect information on credit report, 
 Consumer loan, 978363, Problems when you are unable to pay, 
 Student loan, 977288, Dealing with my lender or servicer, 
 Consumer loan, 977745, Managing the loan or lease, 
 Mortgage, 978005, Settlement process and costs, 
 Consumer loan, 976653, Managing the loan or lease, 
 Debt collection, 976819, Communication tactics, 
 Credit reporting, 975321, Incorrect information on credit report, 
 Consumer loan, 976042, Managing the loan or lease, 
 Credit card, 972726, APR or interest rate, 
 Consumer loan, 972760, Problems when you are unable to pay, 
 Debt collection, 971380, Cont'd attempts collect debt not owed, 
 Debt collection, 971379, Cont'd attempts collect debt not owed, 
 Debt collection, 972758, False statements or representation, 
 Bank account or service, 972988, Deposits and withdrawals, 
 Money transfers, 973001, Fraud or scam, 
 Bank account or service, 973860, Deposits and withdrawals, 
 Bank account or service, 968884, Problems caused by my funds being low, 
 Credit card, 969508, Late fee, 
 Mortgage, 970861, Credit decision / Underwriting, 
 Credit card, 967862, Billing statement, 
 Debt collection, 965916, Cont'd attempts collect debt not owed, 
 Credit card, 965853, Advertising and marketing, 
 Credit reporting, 964384, Incorrect information on credit report, 
 Bank account or service, 964413, Problems caused by my funds being low, 
 Credit reporting, 963749, Incorrect information on credit report, 
 Credit reporting, 962590, Incorrect information on credit report, 
 Credit reporting, 960249, Incorrect information on credit report, 
 Bank account or service, 960245, Problems caused by my funds being low, 
 Debt collection, 960313, False statements or representation, 
 Credit reporting, 961669, Incorrect information on credit report, 
 Credit reporting, 961668, Incorrect information on credit report, 
 Credit reporting, 962171, Incorrect information on credit report, 
 Payday loan, 956479, Received a loan I didn't apply for, 
 Bank account or service, 957209, Deposits and withdrawals, 
 Student loan, 956107, Dealing with my lender or servicer, 
 Credit card, 954981, Billing disputes, 
 Credit card, 954874, Delinquent account, 
 Student loan, 951579, Can't repay my loan, 
 Credit reporting, 951563, Unable to get credit report/credit score, 
 Debt collection, 951890, Taking/threatening an illegal action, 
 Credit reporting, 952908, Incorrect information on credit report, 
 Student loan, 952154, Can't repay my loan, 
 Debt collection, 951501, Taking/threatening an illegal action, 
 Mortgage, 949563, Credit decision / Underwriting, 
 Mortgage, 950408, Credit decision / Underwriting, 
 Bank account or service, 948931, Problems caused by my funds being low, 
 Credit reporting, 946669, Incorrect information on credit report, 
 Credit reporting, 947071, Incorrect information on credit report, 
 Debt collection, 947521, Cont'd attempts collect debt not owed, 
 Credit card, 945100, Billing statement, 
 Credit reporting, 945191, Unable to get credit report/credit score, 
 Debt collection, 943468, False statements or representation, 
 Debt collection, 943514, Communication tactics, 
 Credit reporting, 943611, Incorrect information on credit report, 
 Credit reporting, 944062, Incorrect information on credit report, 
 Credit reporting, 944237, Credit monitoring or identity protection, 
 Credit card, 941199, Billing disputes, 
 Credit reporting, 942830, Unable to get credit report/credit score, 
 Credit reporting, 942831, Unable to get credit report/credit score, 
 Student loan, 943182, Can't repay my loan, 
 Credit card, 942224, Identity theft / Fraud / Embezzlement, 
 Credit card, 942702, APR or interest rate, 
 Consumer loan, 939206, Managing the loan or lease, 
 Credit card, 940946, Late fee, 
 Credit card, 941142, Other fee, 
 Bank account or service, 937257, Deposits and withdrawals, 
 Credit reporting, 938663, Incorrect information on credit report, 
 Student loan, 937097, Dealing with my lender or servicer, 
 Debt collection, 939064, Communication tactics, 
 Debt collection, 937311, Disclosure verification of debt, 
 Credit reporting, 938664, Incorrect information on credit report, 
 Credit card, 937710, Transaction issue, 
 Bank account or service, 937713, Problems caused by my funds being low, 
 Credit reporting, 938185, Incorrect information on credit report, 
 Debt collection, 938302, Taking/threatening an illegal action, 
 Credit card, 935096, Balance transfer fee, 
 Payday loan, 936127, Charged fees or interest I didn't expect, 
 Debt collection, 936489, Cont'd attempts collect debt not owed, 
 Credit card, 934489, Closing/Cancelling account, 
 Credit card, 934522, Other, 
 Debt collection, 934582, False statements or representation, 
 Bank account or service, 934623, Deposits and withdrawals, 
 Credit reporting, 934632, Unable to get credit report/credit score, 
 Bank account or service, 933996, Problems caused by my funds being low, 
 Debt collection, 934174, Cont'd attempts collect debt not owed, 
 Credit card, 931485, Closing/Cancelling account, 
 Student loan, 932724, Can't repay my loan, 
 Credit reporting, 930423, Credit reporting company's investigation, 
 Credit card, 926853, Rewards, 
 Debt collection, 927012, Cont'd attempts collect debt not owed, 
 Bank account or service, 928541, Deposits and withdrawals, 
 Credit card, 926736, Billing disputes, 
 Credit card, 928519, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 924724, Incorrect information on credit report, 
 Credit reporting, 925097, Incorrect information on credit report, 
 Student loan, 925753, Can't repay my loan, 
 Credit reporting, 924534, Incorrect information on credit report, 
 Credit reporting, 926363, Unable to get credit report/credit score, 
 Bank account or service, 924014, Problems caused by my funds being low, 
 Debt collection, 923982, Cont'd attempts collect debt not owed, 
 Debt collection, 921831, Cont'd attempts collect debt not owed, 
 Credit reporting, 921118, Incorrect information on credit report, 
 Bank account or service, 922571, Problems caused by my funds being low, 
 Credit reporting, 919113, Credit monitoring or identity protection, 
 Bank account or service, 919001, Deposits and withdrawals, 
 Debt collection, 917947, Cont'd attempts collect debt not owed, 
 Credit reporting, 918016, Credit monitoring or identity protection, 
 Credit reporting, 918015, Credit monitoring or identity protection, 
 Credit reporting, 918017, Credit monitoring or identity protection, 
 Credit reporting, 918137, Incorrect information on credit report, 
 Bank account or service, 916210, Deposits and withdrawals, 
 Debt collection, 916923, Cont'd attempts collect debt not owed, 
 Credit reporting, 914741, Incorrect information on credit report, 
 Credit card, 913392, APR or interest rate, 
 Credit card, 913601, Other, 
 Credit card, 911608, Closing/Cancelling account, 
 Debt collection, 914553, Cont'd attempts collect debt not owed, 
 Credit reporting, 912911, Unable to get credit report/credit score, 
 Credit reporting, 911465, Incorrect information on credit report, 
 Credit reporting, 912852, Incorrect information on credit report, 
 Credit card, 911523, Other, 
 Debt collection, 910453, Cont'd attempts collect debt not owed, 
 Debt collection, 911124, Communication tactics, 
 Debt collection, 910017, Improper contact or sharing of info, 
 Credit card, 909447, Other fee, 
 Debt collection, 907120, Disclosure verification of debt, 
 Credit reporting, 907503, Unable to get credit report/credit score, 
 Money transfers, 905288, Other service issues, 
 Debt collection, 903944, Communication tactics, 
 Debt collection, 904574, Cont'd attempts collect debt not owed, 
 Debt collection, 902019, Cont'd attempts collect debt not owed, 
 Bank account or service, 900092, Deposits and withdrawals, 
 Mortgage, 901266, Settlement process and costs, 
 Mortgage, 901538, Credit decision / Underwriting, 
 Mortgage, 901603, Credit decision / Underwriting, 
 Credit card, 899463, Billing disputes, 
 Bank account or service, 899751, Deposits and withdrawals, 
 Bank account or service, 897909, Deposits and withdrawals, 
 Mortgage, 898576, Settlement process and costs, 
 Consumer loan, 897189, Shopping for a loan or lease, 
 Credit card, 896138, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 896734, Incorrect information on credit report, 
 Credit card, 896879, Credit card protection / Debt protection, 
 Money transfers, 897097, Other service issues, 
 Credit card, 894254, Credit determination, 
 Credit card, 893345, Credit determination, 
 Credit card, 892864, Application processing delay, 
 Credit reporting, 892342, Incorrect information on credit report, 
 Mortgage, 891356, Settlement process and costs, 
 Credit reporting, 891352, Credit reporting company's investigation, 
 Debt collection, 891611, Cont'd attempts collect debt not owed, 
 Payday loan, 890457, Received a loan I didn't apply for, 
 Debt collection, 890502, Cont'd attempts collect debt not owed, 
 Debt collection, 888099, Taking/threatening an illegal action, 
 Debt collection, 886303, Improper contact or sharing of info, 
 Debt collection, 885812, Communication tactics, 
 Credit reporting, 885259, Incorrect information on credit report, 
 Credit reporting, 885294, Incorrect information on credit report, 
 Credit reporting, 883653, Incorrect information on credit report, 
 Debt collection, 883937, Cont'd attempts collect debt not owed, 
 Credit reporting, 883652, Improper use of my credit report, 
 Consumer loan, 882105, Managing the loan or lease, 
 Debt collection, 880223, Cont'd attempts collect debt not owed, 
 Credit card, 880412, Closing/Cancelling account, 
 Credit card, 880353, Overlimit fee, 
 Bank account or service, 880599, Problems caused by my funds being low, 
 Student loan, 879860, Dealing with my lender or servicer, 
 Credit card, 878295, Transaction issue, 
 Credit card, 878538, Billing disputes, 
 Credit card, 876344, Credit card protection / Debt protection, 
 Consumer loan, 876817, Shopping for a loan or lease, 
 Student loan, 877554, Getting a loan, 
 Debt collection, 875144, Improper contact or sharing of info, 
 Credit reporting, 875744, Improper use of my credit report, 
 Credit card, 874283, Balance transfer, 
 Credit card, 874393, Billing statement, 
 Consumer loan, 873269, Problems when you are unable to pay, 
 Debt collection, 873849, Disclosure verification of debt, 
 Debt collection, 874122, Communication tactics, 
 Debt collection, 874121, Communication tactics, 
 Credit reporting, 872412, Incorrect information on credit report, 
 Credit card, 871193, Identity theft / Fraud / Embezzlement, 
 Student loan, 871327, Dealing with my lender or servicer, 
 Credit reporting, 869921, Incorrect information on credit report, 
 Debt collection, 869941, Communication tactics, 
 Debt collection, 869957, Disclosure verification of debt, 
 Credit card, 868207, Billing disputes, 
 Student loan, 868199, Can't repay my loan, 
 Credit reporting, 868220, Credit monitoring or identity protection, 
 Bank account or service, 868240, Problems caused by my funds being low, 
 Debt collection, 866286, False statements or representation, 
 Credit reporting, 866485, Incorrect information on credit report, 
 Debt collection, 866767, Cont'd attempts collect debt not owed, 
 Debt collection, 866766, Cont'd attempts collect debt not owed, 
 Debt collection, 866768, Cont'd attempts collect debt not owed, 
 Credit card, 866814, Billing disputes, 
 Credit card, 866865, Credit line increase/decrease, 
 Debt collection, 864764, Cont'd attempts collect debt not owed, 
 Debt collection, 864999, Cont'd attempts collect debt not owed, 
 Debt collection, 865160, Cont'd attempts collect debt not owed, 
 Debt collection, 865784, Cont'd attempts collect debt not owed, 
 Credit reporting, 862038, Incorrect information on credit report, 
 Credit card, 862840, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 863145, Incorrect information on credit report, 
 Credit reporting, 863328, Incorrect information on credit report, 
 Bank account or service, 863370, Deposits and withdrawals, 
 Debt collection, 861843, Disclosure verification of debt, 
 Debt collection, 861842, Disclosure verification of debt, 
 Credit reporting, 860114, Incorrect information on credit report, 
 Bank account or service, 858017, Deposits and withdrawals, 
 Credit card, 858165, Other, 
 Credit reporting, 858392, Credit reporting company's investigation, 
 Credit reporting, 857494, Incorrect information on credit report, 
 Mortgage, 857264, Credit decision / Underwriting, 
 Debt collection, 856479, Communication tactics, 
 Debt collection, 856511, Communication tactics, 
 Debt collection, 855507, Cont'd attempts collect debt not owed, 
 Student loan, 856579, Dealing with my lender or servicer, 
 Debt collection, 854011, Improper contact or sharing of info, 
 Credit reporting, 854127, Incorrect information on credit report, 
 Bank account or service, 851409, Using a debit or ATM card, 
 Credit reporting, 851451, Incorrect information on credit report, 
 Debt collection, 851587, Communication tactics, 
 Money transfers, 852330, Other transaction issues, 
 Money transfers, 852329, Other transaction issues, 
 Credit reporting, 849455, Incorrect information on credit report, 
 Debt collection, 850306, Disclosure verification of debt, 
 Debt collection, 850623, Disclosure verification of debt, 
 Debt collection, 850622, Disclosure verification of debt, 
 Bank account or service, 851309, Deposits and withdrawals, 
 Debt collection, 848367, Communication tactics, 
 Debt collection, 848366, Communication tactics, 
 Consumer loan, 847054, Managing the loan or lease, 
 Debt collection, 845477, Cont'd attempts collect debt not owed, 
 Credit reporting, 845476, Incorrect information on credit report, 
 Credit reporting, 845475, Incorrect information on credit report, 
 Debt collection, 845474, Cont'd attempts collect debt not owed, 
 Credit reporting, 845473, Incorrect information on credit report, 
 Debt collection, 845478, Cont'd attempts collect debt not owed, 
 Credit card, 846293, Late fee, 
 Debt collection, 845428, Disclosure verification of debt, 
 Debt collection, 845430, False statements or representation, 
 Debt collection, 843641, Cont'd attempts collect debt not owed, 
 Debt collection, 844199, Cont'd attempts collect debt not owed, 
 Credit reporting, 844306, Incorrect information on credit report, 
 Credit reporting, 844676, Incorrect information on credit report, 
 Credit card, 843597, Billing disputes, 
 Debt collection, 841900, Cont'd attempts collect debt not owed, 
 Credit reporting, 841930, Credit monitoring or identity protection, 
 Debt collection, 842675, Communication tactics, 
 Credit card, 840056, Sale of account, 
 Money transfers, 840236, Other transaction issues, 
 Credit card, 839044, Bankruptcy, 
 Credit card, 838304, Credit determination, 
 Credit card, 838540, Identity theft / Fraud / Embezzlement, 
 Credit card, 838455, Closing/Cancelling account, 
 Bank account or service, 838817, Deposits and withdrawals, 
 Credit reporting, 837730, Credit reporting company's investigation, 
 Credit reporting, 835058, Incorrect information on credit report, 
 Credit reporting, 835542, Incorrect information on credit report, 
 Credit card, 835987, Late fee, 
 Credit card, 835963, APR or interest rate, 
 Bank account or service, 836129, Problems caused by my funds being low, 
 Credit reporting, 835498, Incorrect information on credit report, 
 Debt collection, 835509, Improper contact or sharing of info, 
 Debt collection, 833737, Improper contact or sharing of info, 
 Debt collection, 833738, Improper contact or sharing of info, 
 Credit card, 834004, Advertising and marketing, 
 Debt collection, 834597, Disclosure verification of debt, 
 Student loan, 831793, Dealing with my lender or servicer, 
 Debt collection, 831906, Cont'd attempts collect debt not owed, 
 Student loan, 833693, Dealing with my lender or servicer, 
 Debt collection, 832650, Improper contact or sharing of info, 
 Debt collection, 831105, Communication tactics, 
 Debt collection, 831706, False statements or representation, 
 Debt collection, 829635, Communication tactics, 
 Debt collection, 830039, Cont'd attempts collect debt not owed, 
 Credit reporting, 829020, Unable to get credit report/credit score, 
 Debt collection, 829515, Communication tactics, 
 Debt collection, 828131, Communication tactics, 
 Credit reporting, 829319, Incorrect information on credit report, 
 Debt collection, 827083, Improper contact or sharing of info, 
 Student loan, 827586, Dealing with my lender or servicer, 
 Credit reporting, 820528, Credit reporting company's investigation, 
 Credit reporting, 820527, Credit reporting company's investigation, 
 Credit reporting, 820526, Credit reporting company's investigation, 
 Student loan, 824155, Dealing with my lender or servicer, 
 Debt collection, 824408, Disclosure verification of debt, 
 Debt collection, 822152, Cont'd attempts collect debt not owed, 
 Credit card, 820791, Rewards, 
 Debt collection, 821229, Improper contact or sharing of info, 
 Bank account or service, 820691, Problems caused by my funds being low, 
 Mortgage, 819312, Credit decision / Underwriting, 
 Credit reporting, 823022, Incorrect information on credit report, 
 Credit reporting, 816165, Incorrect information on credit report, 
 Credit card, 816431, Billing disputes, 
 Debt collection, 815300, Cont'd attempts collect debt not owed, 
 Student loan, 815515, Can't repay my loan, 
 Debt collection, 815594, Cont'd attempts collect debt not owed, 
 Credit reporting, 815988, Credit reporting company's investigation, 
 Credit reporting, 812620, Incorrect information on credit report, 
 Bank account or service, 813554, Problems caused by my funds being low, 
 Bank account or service, 813725, Deposits and withdrawals, 
 Consumer loan, 812519, Problems when you are unable to pay, 
 Consumer loan, 811277, Managing the loan or lease, 
 Consumer loan, 809262, Shopping for a loan or lease, 
 Credit reporting, 808977, Incorrect information on credit report, 
 Credit card, 809170, Rewards, 
 Student loan, 810841, Dealing with my lender or servicer, 
 Debt collection, 809436, Cont'd attempts collect debt not owed, 
 Mortgage, 809858, Credit decision / Underwriting, 
 Debt collection, 810104, False statements or representation, 
 Debt collection, 808517, Taking/threatening an illegal action, 
 Debt collection, 808516, Taking/threatening an illegal action, 
 Debt collection, 806899, Cont'd attempts collect debt not owed, 
 Debt collection, 808805, Communication tactics, 
 Credit reporting, 808868, Credit reporting company's investigation, 
 Credit reporting, 806878, Incorrect information on credit report, 
 Debt collection, 804851, Cont'd attempts collect debt not owed, 
 Credit reporting, 804612, Incorrect information on credit report, 
 Student loan, 801483, Can't repay my loan, 
 Credit reporting, 802243, Credit monitoring or identity protection, 
 Credit card, 798425, Customer service / Customer relations, 
 Debt collection, 799496, Cont'd attempts collect debt not owed, 
 Credit reporting, 796123, Unable to get credit report/credit score, 
 Mortgage, 796379, Credit decision / Underwriting, 
 Credit reporting, 796000, Incorrect information on credit report, 
 Debt collection, 795498, False statements or representation, 
 Bank account or service, 794041, Deposits and withdrawals, 
 Credit reporting, 794809, Incorrect information on credit report, 
 Debt collection, 794601, Communication tactics, 
 Debt collection, 794655, Improper contact or sharing of info, 
 Payday loan, 794722, Payment to acct not credited, 
 Bank account or service, 792307, Problems caused by my funds being low, 
 Credit card, 792972, Billing statement, 
 Debt collection, 790537, Taking/threatening an illegal action, 
 Credit card, 791358, Credit determination, 
 Credit reporting, 788188, Incorrect information on credit report, 
 Bank account or service, 787287, Deposits and withdrawals, 
 Debt collection, 787310, Cont'd attempts collect debt not owed, 
 Debt collection, 785440, Cont'd attempts collect debt not owed, 
 Credit card, 785553, Closing/Cancelling account, 
 Credit card, 783352, APR or interest rate, 
 Debt collection, 784040, False statements or representation, 
 Debt collection, 783091, Communication tactics, 
 Debt collection, 783092, Communication tactics, 
 Credit reporting, 780993, Incorrect information on credit report, 
 Bank account or service, 781219, Problems caused by my funds being low, 
 Credit card, 782167, APR or interest rate, 
 Student loan, 779045, Dealing with my lender or servicer, 
 Credit reporting, 779809, Incorrect information on credit report, 
 Debt collection, 780643, Communication tactics, 
 Consumer loan, 778524, Taking out the loan or lease, 
 Debt collection, 774588, Communication tactics, 
 Credit reporting, 774213, Incorrect information on credit report, 
 Credit card, 773853, Other fee, 
 Credit card, 772368, Billing disputes, 
 Debt collection, 771296, Improper contact or sharing of info, 
 Credit reporting, 771303, Incorrect information on credit report, 
 Credit reporting, 771299, Incorrect information on credit report, 
 Payday loan, 769339, Charged fees or interest I didn't expect, 
 Payday loan, 769794, Charged fees or interest I didn't expect, 
 Debt collection, 769837, Cont'd attempts collect debt not owed, 
 Student loan, 769138, Dealing with my lender or servicer, 
 Debt collection, 769172, Cont'd attempts collect debt not owed, 
 Student loan, 765158, Dealing with my lender or servicer, 
 Consumer loan, 765379, Problems when you are unable to pay, 
